"第一階層","第二階層","第三階層","第四階層"
"","Human Fresh/Frozen Tissue","Actinic Keratosis Human Skin Punches
Atopic Dermatitis Human Skin Punches
Endometrial Tissues
Fresh Whole Human Tissue/Organ
HBS: Human Biological Samples
Human Feces
Human Hair
Myoma - Uterine Fibroids
Pooled Human Liver Homogenate
Psoriasis Human Skin Punches
Scars Human Skin Punches
Systemic Lupus Erythematosus (SLE) Human Skin Punches
Warts Human Skin Punches",""
"","Human Liver","3D InSight(TM) Liver Microtissues
Corning(R) HepatoCells
Human Fetal Liver Cells
Human Hepatic Sinusoidal Endothelial Cells
Human Hepatic Stellate Cells
Human Hepatocytes
Human Kupffer Cells
Liver Cancer Human Fixed Tissue
Liver Microsomes
Pooled Human Liver Homogenate
Sandwich-Culture Hepatocytes",""
"","Human Nucleic Acid","Alzheimer's Human DNA
Alzheimer's Human RNA
Amyotrophic Lateral Sclerosis (ALS) Human DNA
Amyotrophic Lateral Sclerosis (ALS) Human RNA
Arthritis Human DNA
Arthritis Human RNA
Asthma Human DNA
Asthma Human RNA
Bipolar Disorder Human DNA
Bipolar Disorder Human RNA
Brain Cancer Human DNA
Brain Cancer Human RNA
Breast Cancer Human DNA
Breast Cancer Human RNA
Cardiovascular Disease (CVD) Human DNA
Cardiovascular Disease (CVD) Human RNA
Cervical Cancer Human DNA
Cervical Cancer Human RNA
Colorectal Cancer Human DNA
Colorectal Cancer Human RNA
Cystic Fibrosis Human DNA
Cystic Fibrosis Human RNA
Dementia Human DNA
Dementia Human RNA
Diabetes Human DNA
Diabetes Human RNA
Esophageal Cancer Human DNA
Esophageal Cancer Human RNA
HBS: Human Biological Samples
Head and Neck Cancer Human DNA
Head and Neck Cancer Human RNA
Hepatic Injury Human DNA
Leukemia Human DNA
Leukemia Human RNA
Liver Cancer Human DNA
Liver Cancer Human RNA
Lung Cancer Human DNA
Lung Cancer Human RNA
Lymphoma Human DNA
Lymphoma Human RNA
Major Depression Human DNA
Major Depression Human RNA
Mild Cognitive Impairment (MCI) Human DNA
Mild Cognitive Impairment (MCI) Human RNA
Multiple Sclerosis Human DNA
Multiple Sclerosis Human RNA
Osteoporosis Human DNA
Ovarian Cancer Human DNA
Ovarian Cancer Human RNA
Pancreatic Cancer Human DNA
Pancreatic Cancer Human RNA
Parkinson's Human DNA
Parkinson's Human RNA
Pneumonia Human DNA
Pneumonia Human RNA
Prostate Cancer Human DNA
Prostate Cancer Human RNA
Renal Cancer Human DNA
Renal Cancer Human RNA
Rheumatoid Arthritis Human DNA
Rheumatoid Arthritis Human RNA
Sarcoma Human DNA
Sarcoma Human RNA
Schizophrenia Human DNA
Schizophrenia Human RNA",""
"","Primary Cells","Human Bladder Cells","HBS: Human Biological Samples
Human Bladder Smooth Muscle Cells"
"","","Human Brain/Neuronal Cells","HBS: Human Biological Samples
Human Astrocytes
Human Brain Microvascular Endothelial Cells
Human Brain Vascular Pericytes
Human Brain Vascular Smooth Muscle Cells
Human Cerebellar Granule Cells
Human Choroid Plexus Endothelial Cells
Human Choroid Plexus Epithelial Cells
Human Choroid Plexus Fibroblasts
Human Meningeal Cells
Human Microglia
Human Neural Stem Cells
Human Neurons
Human Oligodendrocytes
Human Perineural Cells
Human Schwann Cells"
"","","Human Cardiac Cells","HBS: Human Biological Samples
Human Aortic Endothelial Cells
Human Aortic Smooth Muscle Cells
Human Cardiac Fibroblasts
Human Cardiac Microvascular Endothelial Cells
Human Cardiac Myocytes"
"","","Human Epidermal Cells","HBS: Human Biological Samples
Human Coronary Artery Endothelial Cells
Human Dermal Lymphatic Endothelial Cells
Human Dermal Microvascular Endothelial Cells
Human Dermal Vascular Smooth Muscle Cells
Human Epidermal Keratinocytes
Human Epidermal Melanocytes
Human Hair Cells
Human Oral Keratinocytes"
"","","Human Eye Cells","HBS: Human Biological Samples
Human Keratocytes
Human Lens Epithelial Cells
Human Retinal Pigment Epithelial Cells
Human Trabecular Meshwork Cells"
"","","Human Fibroblast","HBS: Human Biological Samples
Human Adult Dermal Fibroblasts
Human Aortic Fibroblasts
Human Bladder Stromal Fibroblasts
Human Brain Fibroblasts
Human Conjunctival Fibroblasts
Human Fetal Dermal Fibroblasts
Human Foreskin Fibroblasts
Human Gingival Fibroblasts
Human Lymphatic Fibroblasts
Human Mammary Fibroblasts
Human Neonatal Dermal Fibroblasts
Human Ovarian Fibroblasts
Human Periodontal Ligament Fibroblasts
Human Prostate Fibroblasts
Human Pulmonary Artery Fibroblasts
Human Pulmonary Fibroblasts
Human Splenic Fibroblasts"
"","","Human Gastrointestinal Cells","HBS: Human Biological Samples
Human Colonic Smooth Muscle Cells
Human Esophageal Epithelial Cells
Human Esophageal Smooth Muscle Cells
Human Intestinal Microvascular Endothelial Cells
Human Intestinal Smooth Muscle Cells"
"","","Human Hepatic Cells","HBS: Human Biological Samples
Human Fetal Liver Cells
Human Hepatic Sinusoidal Endothelial Cells
Human Hepatic Stellate Cells
Human Hepatocytes
Human Kupffer Cells"
"","","Human Lung/Pulmonary Cells","HBS: Human Biological Samples
Human Bronchial Epithelial Cells
Human Bronchial Smooth Muscle Cells
Human Pulmonary Alveolar Epithelial Cells
Human Pulmonary Artery Endothelial Cells
Human Pulmonary Artery Smooth Muscle Cells
Human Pulmonary Microvascular Endothelial Cells
Human Tracheal Epithelial Cells
Human Tracheal Smooth Muscle Cells"
"","","Human Lymphocytes","HBS: Human Biological Samples
Human B Cells
Human Lymph Cells
Human Natural Killer Cells
Human T Cells"
"","","Human Phagocytes","HBS: Human Biological Samples
Human Dendritic Cells
Human Macrophages
Human Monocytes"
"","","Human Renal Cells","HBS: Human Biological Samples
Human Renal Cortical Epithelial Cells
Human Renal Glomerular Endothelial Cells
Human Renal Mesangial Cells
Human Renal Tubular Epithelial Cells"
"","","Human Reproductive Cells","HBS: Human Biological Samples
Human Amniotic Epithelial Cells
Human Ovarian Primary Cells
Human Villous Trophoblasts"
"","","Human Skeletal System Cells","HBS: Human Biological Samples
Human Chondrocytes
Human Osteoblasts
Human Pulposus Cells
Human Synoviocytes"
"","","Human Umbilical Cells","HBS: Human Biological Samples
Human Umbilical Artery Endothelial Cells
Human Umbilical Artery Smooth Muscle Cells
Human Umbilical Vein Endothelial Cells
Human Umbilical Vein Smooth Muscle Cells"
"","","Other Human Cells","HBS: Human Biological Samples
Human Adipocytes
Human Adult Stem Cells
Human Granulocytes
Human Iris Pigment Epithelial Cells
Human Lymphatic Endothelial Cells"
"","","Other",""
