ページ タイトル,ページパス + クエリ文字列,表示回数
Picro-Sirius Red Stain Kit (For Collagen)（SCY-PSR1-1KIT[250mL ea.]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=7425817&ServerKey=Primary&selPrice=1,13
Fecal Mucin Assay Kit（CSR-FFAMUK01-1KIT[100 TEST]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=7430653&ServerKey=Primary&selPrice=1,13
"FluoroVue<sup>TM</sup> Nucleic Acid Gel Stain (10,000X)（SMO-NS1000-500UL）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=12644767&ServerKey=Primary&selPrice=1,12
Collagen coating solution（PMC-SCO-100ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16175815&ServerKey=Primary&selPrice=1,12
"Human PBMCs, 50M（IQB-IQBPBMC102-1VIAL[50x10^6 cells]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=16843644&ServerKey=Primary&selPrice=1,12
"GelRed<sup>(R)</sup> Nucleic Acid Gel Stain, 10, 000X in Water (trial size)（BTI-41003T-0.1ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1806643&ServerKey=Primary&selPrice=1,12
pMXs-IRES-Puro Retroviral Vector（CBL-RTV014-10UG）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826496&ServerKey=Primary&selPrice=1,12
BAMBANKER<sup>(R)</sup>（LTC-CS02001-120ML[120_mL]）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2032805&ServerKey=Primary&selPrice=1,12
RNAscope<sup>TM</sup> Multiplex Fluorescent Reagent Kit v2 with TSA Vivid Dyes（ADC-323270-1KIT[(for 20 slides)]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=25742906&ServerKey=Primary&selPrice=1,12
TRAP Staining Kit（PMC-AK04F-10PLATE[96 well x 10]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2689553&ServerKey=Primary&selPrice=1,12
Hematoxylin and Eosin Stain Kit（SCY-HAE1-1KIT）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=7388774&ServerKey=Primary&selPrice=1,12
Calcein AM Cell Viability Assay Kit（BTI-30026-1KIT[1000 assays]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806577&ServerKey=Primary&selPrice=1,11
Mitochondrial DNA Copy Number Kit（DRD-MCN3-1KIT）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16526178&ServerKey=Primary&selPrice=1,11
HybEZ<sup>TM</sup> II Hybridization System (110v)With ACD EZ-Batch Slide System（ADC-321710-1SYSTEM）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17359423&ServerKey=Primary&selPrice=1,11
Propidium iodide（ABD-17515-25MG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1579976&ServerKey=Primary&selPrice=1,11
GelRed<sup>(R)</sup> Nucleic Acid Gel Stain 10.000X in DMSO（BTI-41002-0.5ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806639&ServerKey=Primary&selPrice=1,11
Endothelial Tube Formation Assay (In Vitro Angiogenesis Assay)（CBL-CBA200-1KIT[50 assays]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826459&ServerKey=Primary&selPrice=1,11
Anti IgG (H+L)（PGI-SA000012-200UL）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19690005&ServerKey=Primary&selPrice=1,11
Nunc-Immuno<sup>TM</sup> Plate II（NAL-442404-1PACK[1_パック(5×12_=60_)]）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2073950&ServerKey=Primary&selPrice=1,11
Fluoromount-G<sup>(R)</sup>（SBA-010001-25ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2258785&ServerKey=Primary&selPrice=1,11
Dextran sulfate sodium（TDB-DB001-50G）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=23043468&ServerKey=Primary&selPrice=1,11
"CRYOTUBE 2 ml inner cap (450), Star-shaped fin type（NAL-377267-450PC）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=6431102&ServerKey=Primary&selPrice=1,11
Peripheral Blood Mononuclear Cells - Cryopreserved（HEM-PB009C1-1VIAL[10 x 10^6 cells]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=6457166&ServerKey=Primary&selPrice=1,11
ExcelBand 50 bp DNA Ladder（SMO-DM1100-500UL）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=8753138&ServerKey=Primary&selPrice=1,11
A-PAP Pen Regular（DAI-APAPR-1PC[1本]）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=24135644&ServerKey=Primary&selPrice=1,10
Gold Protein Detection Kit for Membranes（CTD-SR0701-1KIT）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=8576387&ServerKey=Primary&selPrice=1,10
RNAscope<sup>TM</sup> 2.5 HD Reagent Kit- RED（ADC-322350-1KIT[for 20 slides]）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16175746&ServerKey=Primary&selPrice=1,10
pMXs-Puro Retroviral Vector（CBL-RTV012-10UG）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826494&ServerKey=Primary&selPrice=1,10
Plasma (Factor VIII Deficient)（GK-GK08-5*1ML[5×1_mL]）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1909230&ServerKey=Primary&selPrice=1,10
Tail DNA Extraction Kit（OBL-T605-250RXN[1 bottle]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=19749120&ServerKey=Primary&selPrice=1,10
Incubation Chamber for 10 slides Cool Gray（KMB-10CG-1BOX）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1990165&ServerKey=Primary&selPrice=1,10
OverExpress<sup>TM</sup> C41 (DE3) Chemically Competent Cells (SOLOs)（LUC-604421-12RXN）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2033165&ServerKey=&selPrice=1,10
TRI Reagent<sup>(R)</sup>（MOR-TR118-500ML）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2072919&ServerKey=Primary&selPrice=1,10
DNA Quantity Kit（PMC-AK06-200RXN）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2198983&ServerKey=Primary&selPrice=1,10
DAPI Fluoromount-G<sup>(R)</sup>（SBA-010020-20ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2258786&ServerKey=Primary&selPrice=1,10
"Foetal Bovine Serum (FBS) - Heat Inactivated, Netherlands Origin（SRN-SFBSNL025-500ML）（カテゴリ：生体試料） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=23839707&ServerKey=Primary&selPrice=1,10
"Polyethylenimine, Linear, MW 25000, Transfection Grade (PEI 25K <sup>TM</sup>)（PSI-23966100-100MG）（カテゴリ：化成品） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=23899590&ServerKey=Primary&selPrice=1,10
A-PAP Pen Mini（DAI-APAPM-1PC[1本]）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=24135642&ServerKey=Primary&selPrice=1,10
Spin column based Antibody Purification Kit (Protein G)（CSR-APK10G-10ASSAY）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16047093&ServerKey=Primary&selPrice=1,10
"Chinese Hamster Ovary (CHO) K1 Cells（CET-CR1007500-1VIAL[>500,000 cells]）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=27259810&ServerKey=Primary&selPrice=1,10
Oil Red O Stain Kit (For Fat)（SCY-ORK1-1KIT）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3314459&ServerKey=Primary&selPrice=1,10
Periodic Acid Schiff (PAS) Stain Kit（SCY-PAS1-1KIT）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3314461&ServerKey=Primary&selPrice=1,10
"Cal-520<sup>(R)</sup>, AM（ABD-21130-10*50UG）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=4779332&ServerKey=Primary&selPrice=1,10
Anti CD9（CAC-SHIEXOM01-100UL[1 mg / mL]）（カテゴリ：抗体関連） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=6371115&ServerKey=Primary&selPrice=1,10
7AAD（ISP-7AAD-400TEST）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=6702973&ServerKey=Primary&selPrice=1,10
"α-Synuclein Aggregation Assay Kit（CSR-SYN01-1KIT[300 test]）（カテゴリ：siRNA, shRNAベクター） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=16167734&ServerKey=Primary&selPrice=1,10
Amplite<sup>(R)</sup> Universal Fluorimetric Protease Activity Assay Kit *Green Fluorescence*（ABD-13500-1KIT[500 Tests]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1579912&ServerKey=Primary&selPrice=1,9
BMMSC Growth Medium（PMC-MSBGM-200ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16175810&ServerKey=Primary&selPrice=1,9
Lyophilized exosomes from HCT116 cell line（HNB-HBMHCT302-60UG[2x30μg]）（カテゴリ：miRNA研究） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16241908&ServerKey=Primary&selPrice=1,9
"Tetra Calf Scours (Rota, Corona, E.coli F5 (K99), Crypto)（BOX-BIOK156-4*5TEST[5 rapid test strips of each]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1797135&ServerKey=Primary&selPrice=1,9
"GelGreen<sup>(R)</sup> Nucleic Acid Gel Stain 10, 000x in DMSO（BTI-41004-0.5ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1806644&ServerKey=Primary&selPrice=1,9
"GelGreen<sup>(R)</sup> Nucleic Acid Gel Stain, 10, 000X in Water（BTI-41005-0.5ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1806646&ServerKey=Primary&selPrice=1,9
Protein Precipitation Kit（NDS-EC888-1KIT[50 ml]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2076912&ServerKey=Primary&selPrice=1,9
Tau Aggregation Assay Kit（CSR-TAU01-1KIT）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=22575726&ServerKey=Primary&selPrice=1,9
ApoScreen<sup>(R)</sup> Annexin V Apoptosis Kit（SBA-1001002-100TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2259053&ServerKey=Primary&selPrice=1,9
Deoxynivalenol(DON) ELISA Kit（NMD-MSFR078020-1KIT）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=23562286&ServerKey=Primary&selPrice=1,9
HyStem<sup>(R)</sup> Thiol-Modified Hyaluronic Acid 2.5 mL Trial Kit（ADM-GS310F-1KIT[2.5 mL]）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=25983097&ServerKey=Primary&selPrice=1,9
Insulin Transferrin Selenium（SCR-0803-10ML）（カテゴリ：培地、培養試薬・機材） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=2812048&ServerKey=Primary&selPrice=1,9
Iron Stain Kit（SCY-IRN1-1KIT）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=3314435&ServerKey=Primary&selPrice=1,9
e-Myco<sup>TM</sup> Mycoplasma PCR Detection Kit（INB-25235-48TUBE）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4533710&ServerKey=Primary&selPrice=1,9
Testosterone ELISA kit（ENZ-ADI900065-96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4761639&ServerKey=Primary&selPrice=1,9
Cortisol ELISA kit（ENZ-ADI900071-96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4761645&ServerKey=Primary&selPrice=1,9
17β-Estradiol high sensitivity ELISA kit（ENZ-ADI900174-96WELL）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=4761707&ServerKey=Primary&selPrice=1,9
"TrueBlack<sup>(R)</sup> Lipofuscin Autofluorescence Quencher, 20X in DMF（BTI-23007-1ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=7613077&ServerKey=Primary&selPrice=1,9
"Tris-EDTA Antigen Retrieval Buffer, pH 9.0 (50X)（PGI-PR30002-100ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=25766636&ServerKey=Primary&selPrice=1,8
ExcelBand 1KB (0.25-10 kb) DNA Ladder（SMO-DM3100-500UL）（カテゴリ：分離・精製） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=8753144&ServerKey=Primary&selPrice=1,8
Amyloid Fluorescent Staining Kit（CSR-SYN02-1KIT[100 test]）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=16167953&ServerKey=Primary&selPrice=1,8
A-549 (Human Lung Carcinoma cell line) for Academic user（CLI-300114ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105296&ServerKey=Primary&selPrice=1,8
U-2 OS (Human Bone osteosarcoma cell line) for Academic user（CLI-300364ACADEMIC-1VIAL）（カテゴリ：細胞） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17105502&ServerKey=Primary&selPrice=1,8
BluPAD Dual LED Blue/White Light Transilluminator（GDX-BP001CU-1SET）（カテゴリ：機器、消耗品） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=17851631&ServerKey=Primary&selPrice=1,8
CellBrite<sup>TM</sup> Green Cytoplasmic Membrane Dye（BTI-30021-1ML）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1806571&ServerKey=Primary&selPrice=1,8
96-well Cellular Senescence Assay (SA β-Gal Activity)（CBL-CBA231-1KIT[120 assays]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826470&ServerKey=Primary&selPrice=1,8
pMXs Retroviral Vector（CBL-RTV010-10UG）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826492&ServerKey=Primary&selPrice=1,8
pMXs-IRES-GFP Retroviral Vector（CBL-RTV013-10UG）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1826495&ServerKey=Primary&selPrice=1,8
Fluoromount<sup>TM</sup>（DBS-K024-25ML）（カテゴリ：検出試薬） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1876621&ServerKey=Primary&selPrice=1,8
"Factor Assay Control Plasma (Normal, Pooled, Assay values included)（GK-GKNP2-5*1ML[5×1_mL]）（カテゴリ：臨床検査試薬） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=1909260&ServerKey=Primary&selPrice=1,8
"ViaFluor<sup>(R)</sup> 405 SE Cell Proliferation Kit（BTI-30068T-1KIT[1 vial, 100 assays]）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19238125&ServerKey=Primary&selPrice=1,8
"JM109 competent cell, Champion<sup>TM</sup>109 high（SMO-CC0202-80RXN）（カテゴリ：遺伝子工学） | 商品情報 | コスモ・バイオ株式会社",/view/p_view.asp?PrimaryKeyValue=19663853&ServerKey=Primary&selPrice=1,8
Magic Red<sup>TM</sup> Cathepsin B Assay Kit（IMT-937-25TEST）（カテゴリ：定量･検出キット） | 商品情報 | コスモ・バイオ株式会社,/view/p_view.asp?PrimaryKeyValue=1980741&ServerKey=Primary&selPrice=1,8
